douban_id,title,original_title,year,directors,actors,genres,countries,rating,rating_count,rank,poster_url,summary,main_category,feature_tags
35211578,逃避虽可耻但有用 新春特别篇,,2021,金子文纪,新垣结衣;星野源;大谷亮平;藤井隆;真野惠里菜,剧情;爱情,日本,8.5,44576,476,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2629717359.webp,森山实栗（新垣结衣 饰）和津崎平匡（星野源 饰）之间的事实婚姻愉快而又轻松的进行着，在日常生活的摩擦中，他们逐渐接受了彼此不同的生活步调，关系越来越亲密融洽。在这个节骨眼上，实栗发现自己怀孕了。好不容易适应了“妻子”和“丈夫”的新身份，这对年轻夫妻再度迎来了下一个挑战——成为“父亲”和“母亲”。 怀孕带来的不适让实栗和平匡之间屡屡发生摩擦，好在两人都是温柔细腻的人，他们依靠着对彼此的爱携手度过了一道又一道难关。终于，孩子降生了，可与此同时，可怕的肺炎疫情爆发了。为了保证妻儿的安全，平匡将实栗和孩子送回了娘家。,romance_drama,剧情;爱情;金子文纪;日本;高分
35700910,鲭鱼罐头,,2022,金泽知树,番家一路;原田琥之佑;尾野真千子;竹原和生;村川绘梨,剧情,日本,8.5,40500,477,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892890451.webp,讲述发生在1986年九州长崎两位小学生的冒险过程，喜爱齐藤由贵并且热衷收集《金肉人》橡皮擦的久田孝明（番家一路 饰），虽然家中父母经常拌嘴吵架，但久田与弟弟仍在充满关爱的环境下长大；久田与遭到同学排挤的竹本（原田琥之佑 饰）在某个契机下，相约前往长崎的回力镖岛找寻海豚的踪影，虽然 遇到许多困难，这次冒险让两人成为好朋友；然而，突如其来的一场意外，两人的友谊却产生重大变化。,romance_drama,剧情;金泽知树;日本;高分
3915458,航海王：强者天下,,2024,境宗久,田中真弓;冈村明美;中井和哉;山口胜平;平田广明,动画;奇幻,日本,8.5,38106,478,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2912052833.webp,在一个风和日丽的日子，草帽海贼团正悠闲地在海上航行。突然，天空中出现一个漂浮的小岛，娜美及时通知各位规避即将到来的龙卷风，她的能力引起了小岛上海贼的注意。这个海贼首领非同寻常，他名叫金狮子史基，在大海贼时代到来前曾和哥鲁德•罗杰拼杀争霸。罗杰被俘后，史基也被投入海底监狱，但他却斩断双脚逃亡，并决心向东海展开复仇。史基意欲拉娜美入伙，双方不可避免发生纷争，经过一波三折，娜美最终落入史基手中。为了救出伙伴，并阻止东海毁灭计划，草帽海贼团将和史上最强大的敌人展开对决…… 本片根据尾田荣一郎同名原著改编，系《海贼王》的第十部剧场版动画，尾田荣一郎亲自担任制作总指挥。,comedy_animation,动画;奇幻;境宗久;日本;高分
1294827,蜘蛛巢城,,1957,黑泽明,三船敏郎;山田五十铃;志村乔;久保明;太刀川宽,剧情;历史,日本,8.5,37727,479,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p647422117.webp,一串悲凉的歌声诉说着蜘蛛城的历史预言。战国时期，处于密林围抱的蜘蛛城，地形复杂，敌军攻来此地，必然迷路，因此城主稳坐城楼，指挥若定，四面排出大将御敌，可保此城固若金汤。大将鹫津武时（三船敏郎 Toshiro Mifune 饰）和副将三木因为平叛得力，准备回城领赏。途中，二人阴错阳差走入了密林深处，偶遇一白发老妪弹琴吟唱。他们觉得此事蹊跷，怀疑是敌方故布疑阵，因此上前以武力逼其就范。但此人却预言鹫津将夺城主之位，三木之子也将继承大统，正当两人将信将疑之时，此人化作一道白光销声匿迹。此后，回到城中，鹫津做了北城城主，但念及预言，心有不甘，于是在妻子浅茅的怂恿下，弑君，自立为蜘蛛巢城城主，然而这才只是预言的开始……,history_war_biography,剧情;历史;黑泽明;日本;高分
3335463,交响情人梦 最终乐章 前篇,,2009,武内英树,上野树里;玉木宏;永山瑛太;水川麻美;小出惠介,剧情;喜剧;音乐,日本,8.5,37099,480,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p575387624.webp,经过在法国巴黎一年的努力打拼，千秋真一（玉木宏 饰）渐渐成长为备受瞩目的指挥家，野田惠在音乐学院的学业也在有条不紊地进行中。而就在此春风得意的时刻，艾莉莎（吉瀬美智子 饰）命令千秋去担任宫殿专用乐团Roux-marlet乐团的首席指挥。虽然该乐团声名显赫，但早已今非昔比，由于资金断链，人才相继流失，临时演奏家占多数且缺少练习的乐团，其窘况可想而知。种种困境让千秋备感困扰，为此他找来野田惠（上野树里 饰）加入练习，而碰巧来到巴黎的孙蕊（山田优 饰）也加入其中。糟糕的现状，一切似乎都要从头开始…… 本片根据二之宫知子的原著漫画改编。,romance_drama,剧情;喜剧;音乐;武内英树;日本;高分
1432436,鲁邦三世：卡里奥斯特罗城,,1979,宫崎骏,山田康雄;小林清志;增山江威子;井上真树夫;纳谷悟朗,爱情;动画;奇幻;冒险,日本,8.5,35349,481,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1446259907.webp,卡里奥斯特罗，一个位于欧洲人口只有3500人的小国家，却是世界上最逼真的伪钞——山羊之钞的发源地。其伪钞之真，连鲁邦三世这样的大盗都险些被其蒙蔽。鲁邦和伙伴旅行至此，恰巧遇见正被一伙暴徒追赶的美丽少女克拉丽斯。鲁邦出手相救，却从少女遗留下的戒指上若有所悟。原来是多年前鲁邦曾来此寻找过山羊之钞的下落，并在此结识还是孩童的克拉丽斯及其身为大公的父亲。如今物是人非，七年前的一场大火烧毁了大公的城堡，克拉丽斯的父母皆在大火中身亡。孤苦伶仃的克拉丽斯无依无靠，而摄政王卡里奥斯特罗伯爵则逼迫少女与之成亲。鲁邦决定从伯爵手中救出女孩，同时探究戒指背后所隐藏的关于宝藏的秘密……,sci_fi_action,爱情;动画;奇幻;冒险;宫崎骏;日本;高分
4907844,蜡笔小新 超时空！呼风唤雨的我的新娘,,2010,鴫野彰,矢岛晶子;楢桥美纪;藤原启治;兴梠里美;真柴摩利,动画,日本,8.5,30426,482,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2254635464.webp,某日，野原新之助（矢岛晶子 配音）正在公园里和风间（真柴摩利 配音）、妮妮（林玉绪 配音）等朋友们玩耍，意外遇见了一位名为金有久美子（钉宫理惠 配音）的神秘女子，久美子告诉小新，自己来自于遥远的未来世界，而彼时已经长大成人的新之助，正是自己的未婚夫。 跟随着久美子，小新一行人来到了未来，在那里，金友电机的社长，亦是久美子的父亲金有增藏手握大权，并且绑架了一直和自己作对的新之助。得知小新的到来会阻碍自己的计划，增藏派出了刺客，在强大的敌人面前，小新能否顺利救出新之助，并且帮助面前这个陷入了黑暗之中的世界重新找回光明呢？,comedy_animation,动画;鴫野彰;日本;高分
20438548,蜡笔小新：超级美味！B级美食大逃亡！,,2013,桥本昌和,矢岛晶子;楢桥美纪;藤原启治;兴梠里美;真柴摩利,动画,日本,8.5,29985,483,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2345414490.webp,阳光明媚的一天，盛大的B级美食嘉年华在春日部市召开，野原新之助（矢岛晶子 配音）看到新闻后兴奋非常，于是和樱田妮妮、风间彻、代全林、佐藤正男等好朋友们商定，偷偷前往嘉年华大饱口福。与此同时，B级美食嘉年华举行的消息也传到所谓的A级美食机构。该机构最高负责人满美食大人（中村悠一 配音）对B级食物充满鄙夷，他决定彻底摧毁这些下等吃食。未久，A级美食的飞船飞临嘉年华，对底层料理手艺人进行无情驱逐。为了挽救B级美食，炒面阿健决定启用传承已达五十代的秘制酱汁。阿健的相好红子走投无路，将酱汁罐子交给春日部防卫队的各位。 小新和朋友们无意间承担起包围B级美食的重任……,comedy_animation,动画;桥本昌和;日本;高分
36894170,初吻,,2025,冢原亚由子,松隆子;松村北斗;吉冈里帆;森七菜;中川雅也,爱情;奇幻,日本,8.5,28573,484,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2915797811.webp,结婚第15年，丈夫因事故去世。和丈夫长期处于倦怠期，关系一直不睦。剩下的妻子在准备开始第二人生的时候，得到了时间旅行的方法。回到了过去，有和她相遇之前的丈夫的身姿… 看着相识时年轻时的丈夫，她想，自己还是喜欢这个人。再次见到丈夫的她再次爱上了他。然后想，自己必须拯救15年后意外死亡的他。 “夫妻是指？”“家人是指？”“和爱的人一起走过的人生是怎样的？”这是每个人在人生中都会面对的、无解的、深刻而简单的问题。本片描绘了追问那些意义的动摇心灵的爱情故事。,sci_fi_action,爱情;奇幻;冢原亚由子;日本;高分
1291563,十分钟年华老去：小号篇,,2002,陈凯歌,冯远征;耿乐;张晋;李易祥;马库·佩尔托拉,剧情,西班牙;英国;德国;芬兰;中国大陆;美国;日本;加拿大,8.5,27425,485,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910831795.webp,《十分钟年华老去 大提琴篇》的姊妹篇，由七位知名导演各自执导摄制而成，共同讲述发生在短暂十分钟里的人情冷暖。 《狗没有地狱》里刑满出狱的男人带着女友一起远走故乡莫斯科，是坚贞的爱情与灵魂的回归；《生命线》中由呱呱坠地的新生儿讲起，平静安详；《几千年前》讲述的是现代文明带给原始部落的冲击跟入侵；《国际组织·拖车·夜晚》借休息的女演员视角，透视着大千世界里的形形色色；《距离托那12英里》是挣扎在生死线上的宝贵十分钟；《我们将被掠夺》发生在戈尔竞选总统失败的最后十分钟里；《百花深处》向我们讲述一段“模拟搬家”的荒唐闹剧。,romance_drama,剧情;陈凯歌;西班牙;高分
